total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 1, total loss 7.1227, train acc 0.48913, train_AUC 0.46385, train_F1: 0.31884
epoch 2, total loss 5.8112, train acc 0.58696, train_AUC 0.56392, train_F1: 0.36667
epoch 3, total loss 5.3483, train acc 0.52174, train_AUC 0.53759, train_F1: 0.40541
epoch 4, total loss 5.2299, train acc 0.52174, train_AUC 0.52788, train_F1: 0.33333
epoch 5, total loss 4.9726, train acc 0.52174, train_AUC 0.62098, train_F1: 0.37143
epoch 6, total loss 4.45, train acc 0.58696, train_AUC 0.62004, train_F1: 0.45714
epoch 7, total loss 4.5637, train acc 0.57609, train_AUC 0.62222, train_F1: 0.4507
epoch 8, total loss 4.3485, train acc 0.55435, train_AUC 0.5948, train_F1: 0.34921
epoch 9, total loss 4.3874, train acc 0.57609, train_AUC 0.63404, train_F1: 0.41791
epoch 10, total loss 3.7873, train acc 0.58696, train_AUC 0.62571, train_F1: 0.42424
epoch 11, total loss 3.7034, train acc 0.54348, train_AUC 0.62146, train_F1: 0.32258
epoch 12, total loss 3.4829, train acc 0.54348, train_AUC 0.58837, train_F1: 0.34375
epoch 13, total loss 3.5466, train acc 0.57609, train_AUC 0.60142, train_F1: 0.43478
epoch 14, total loss 3.3585, train acc 0.54348, train_AUC 0.66068, train_F1: 0.32258
epoch 15, total loss 3.125, train acc 0.58696, train_AUC 0.6974, train_F1: 0.40625
epoch 16, total loss 2.9762, train acc 0.6413, train_AUC 0.63068, train_F1: 0.47619
epoch 17, total loss 2.6767, train acc 0.6087, train_AUC 0.68913, train_F1: 0.4375
epoch 18, total loss 2.884, train acc 0.57609, train_AUC 0.6227, train_F1: 0.36066
epoch 19, total loss 2.6813, train acc 0.6413, train_AUC 0.70827, train_F1: 0.54795
epoch 20, total loss 2.7744, train acc 0.58696, train_AUC 0.65272, train_F1: 0.42424
epoch 21, total loss 2.2926, train acc 0.58696, train_AUC 0.64539, train_F1: 0.44118
epoch 22, total loss 2.3515, train acc 0.6087, train_AUC 0.68983, train_F1: 0.45455
epoch 23, total loss 2.0742, train acc 0.61957, train_AUC 0.78922, train_F1: 0.47761
epoch 24, total loss 2.0846, train acc 0.71739, train_AUC 0.81238, train_F1: 0.60606
epoch 25, total loss 2.0087, train acc 0.6413, train_AUC 0.68998, train_F1: 0.50746
epoch 26, total loss 1.9307, train acc 0.66304, train_AUC 0.75035, train_F1: 0.53731
epoch 27, total loss 1.8679, train acc 0.63043, train_AUC 0.71786, train_F1: 0.48485
epoch 28, total loss 1.418, train acc 0.66304, train_AUC 0.79102, train_F1: 0.56338
