total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 1, total loss 6.4519, train acc 0.54348, train_AUC 0.55177, train_F1: 0.36364
epoch 2, total loss 5.1657, train acc 0.53261, train_AUC 0.53125, train_F1: 0.31746
epoch 3, total loss 4.9142, train acc 0.56522, train_AUC 0.62264, train_F1: 0.42857
epoch 4, total loss 4.9031, train acc 0.63043, train_AUC 0.66241, train_F1: 0.51429
epoch 5, total loss 4.7916, train acc 0.6087, train_AUC 0.67801, train_F1: 0.4375
epoch 6, total loss 4.6562, train acc 0.54348, train_AUC 0.61324, train_F1: 0.36364
epoch 7, total loss 4.1366, train acc 0.57609, train_AUC 0.61348, train_F1: 0.4
epoch 8, total loss 4.0021, train acc 0.56522, train_AUC 0.64934, train_F1: 0.39394
epoch 9, total loss 3.8256, train acc 0.59783, train_AUC 0.6517, train_F1: 0.43077
epoch 10, total loss 3.2655, train acc 0.70652, train_AUC 0.73522, train_F1: 0.63014
epoch 11, total loss 3.252, train acc 0.63043, train_AUC 0.68384, train_F1: 0.5
epoch 12, total loss 2.6589, train acc 0.57609, train_AUC 0.7026, train_F1: 0.4
epoch 13, total loss 2.8816, train acc 0.6413, train_AUC 0.68558, train_F1: 0.50746
epoch 14, total loss 2.8485, train acc 0.59783, train_AUC 0.68818, train_F1: 0.44776
epoch 15, total loss 2.5563, train acc 0.66304, train_AUC 0.74267, train_F1: 0.52308
epoch 16, total loss 2.5479, train acc 0.61957, train_AUC 0.70983, train_F1: 0.46154
epoch 17, total loss 2.5977, train acc 0.63043, train_AUC 0.71206, train_F1: 0.51429
epoch 18, total loss 2.1676, train acc 0.67391, train_AUC 0.7383, train_F1: 0.54545
epoch 19, total loss 2.3541, train acc 0.6087, train_AUC 0.65343, train_F1: 0.45455
epoch 20, total loss 2.5038, train acc 0.59783, train_AUC 0.67439, train_F1: 0.43077
epoch 21, total loss 1.8891, train acc 0.65217, train_AUC 0.73913, train_F1: 0.52941
epoch 22, total loss 2.1684, train acc 0.66304, train_AUC 0.75969, train_F1: 0.55072
epoch 23, total loss 2.0468, train acc 0.6087, train_AUC 0.69764, train_F1: 0.4375
epoch 24, total loss 2.2633, train acc 0.65217, train_AUC 0.78048, train_F1: 0.5
epoch 25, total loss 2.0641, train acc 0.68478, train_AUC 0.79054, train_F1: 0.57971
epoch 26, total loss 1.9154, train acc 0.65217, train_AUC 0.76147, train_F1: 0.51515
epoch 27, total loss 1.8683, train acc 0.66304, train_AUC 0.78812, train_F1: 0.45614
epoch 28, total loss 1.7977, train acc 0.66304, train_AUC 0.74858, train_F1: 0.52308
epoch 29, total loss 1.3716, train acc 0.68478, train_AUC 0.79338, train_F1: 0.55385
epoch 30, total loss 1.6083, train acc 0.66304, train_AUC 0.76879, train_F1: 0.55072
epoch 31, total loss 1.7245, train acc 0.67391, train_AUC 0.74197, train_F1: 0.55882
epoch 32, total loss 1.3576, train acc 0.72826, train_AUC 0.8698, train_F1: 0.63768
epoch 33, total loss 1.2732, train acc 0.72826, train_AUC 0.83002, train_F1: 0.62687
epoch 34, total loss 1.2915, train acc 0.75, train_AUC 0.81238, train_F1: 0.68493
epoch 35, total loss 1.4482, train acc 0.68478, train_AUC 0.78723, train_F1: 0.55385
epoch 36, total loss 1.5035, train acc 0.67391, train_AUC 0.78977, train_F1: 0.5
epoch 37, total loss 1.4382, train acc 0.68478, train_AUC 0.77849, train_F1: 0.55385
epoch 38, total loss 1.5453, train acc 0.67391, train_AUC 0.75485, train_F1: 0.54545
epoch 39, total loss 1.6281, train acc 0.61957, train_AUC 0.73333, train_F1: 0.42623
epoch 40, total loss 1.5581, train acc 0.66304, train_AUC 0.76974, train_F1: 0.52308
epoch 41, total loss 1.2928, train acc 0.68478, train_AUC 0.80615, train_F1: 0.52459
epoch 42, total loss 1.4438, train acc 0.68478, train_AUC 0.78166, train_F1: 0.55385
epoch 43, total loss 1.2851, train acc 0.67391, train_AUC 0.81891, train_F1: 0.57143
epoch 44, total loss 1.3478, train acc 0.66304, train_AUC 0.77021, train_F1: 0.55072
epoch 45, total loss 1.1945, train acc 0.69565, train_AUC 0.78132, train_F1: 0.58824
epoch 46, total loss 1.4111, train acc 0.66304, train_AUC 0.78629, train_F1: 0.57534
epoch 47, total loss 1.1593, train acc 0.65217, train_AUC 0.82411, train_F1: 0.5
epoch 48, total loss 1.1515, train acc 0.68478, train_AUC 0.82065, train_F1: 0.55385
