total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 1, total loss 6.6942, train acc 0.51087, train_AUC 0.45154, train_F1: 0.23729
epoch 2, total loss 5.4705, train acc 0.48913, train_AUC 0.46952, train_F1: 0.27692
epoch 3, total loss 5.1943, train acc 0.51087, train_AUC 0.55083, train_F1: 0.28571
epoch 4, total loss 5.2, train acc 0.46739, train_AUC 0.42911, train_F1: 0.24615
epoch 5, total loss 5.2287, train acc 0.51087, train_AUC 0.48958, train_F1: 0.2623
epoch 6, total loss 5.2722, train acc 0.54348, train_AUC 0.54679, train_F1: 0.36364
epoch 7, total loss 4.6215, train acc 0.55435, train_AUC 0.55293, train_F1: 0.36923
epoch 8, total loss 4.8434, train acc 0.51087, train_AUC 0.48322, train_F1: 0.23729
epoch 9, total loss 4.371, train acc 0.54348, train_AUC 0.54043, train_F1: 0.3
epoch 10, total loss 4.8905, train acc 0.45652, train_AUC 0.41962, train_F1: 0.21875
epoch 11, total loss 4.0002, train acc 0.6087, train_AUC 0.65814, train_F1: 0.4
epoch 12, total loss 4.2305, train acc 0.56522, train_AUC 0.61513, train_F1: 0.42857
epoch 13, total loss 3.7319, train acc 0.61957, train_AUC 0.64019, train_F1: 0.44444
epoch 14, total loss 3.6101, train acc 0.52174, train_AUC 0.60914, train_F1: 0.26667
epoch 15, total loss 3.4007, train acc 0.6087, train_AUC 0.67045, train_F1: 0.45455
epoch 16, total loss 3.219, train acc 0.6087, train_AUC 0.67486, train_F1: 0.41935
epoch 17, total loss 3.3009, train acc 0.56522, train_AUC 0.64704, train_F1: 0.39394
epoch 18, total loss 3.0002, train acc 0.6413, train_AUC 0.73877, train_F1: 0.50746
epoch 19, total loss 2.9385, train acc 0.61957, train_AUC 0.73011, train_F1: 0.47761
epoch 20, total loss 2.9152, train acc 0.61957, train_AUC 0.67297, train_F1: 0.47761
epoch 21, total loss 2.9041, train acc 0.63043, train_AUC 0.70715, train_F1: 0.45161
epoch 22, total loss 2.553, train acc 0.67391, train_AUC 0.77652, train_F1: 0.57143
epoch 23, total loss 2.7615, train acc 0.69565, train_AUC 0.73769, train_F1: 0.58824
epoch 24, total loss 2.3288, train acc 0.57609, train_AUC 0.70983, train_F1: 0.36066
epoch 25, total loss 1.9872, train acc 0.55435, train_AUC 0.69551, train_F1: 0.4058
epoch 26, total loss 2.1398, train acc 0.67391, train_AUC 0.77131, train_F1: 0.55882
epoch 27, total loss 2.1692, train acc 0.66304, train_AUC 0.71078, train_F1: 0.53731
epoch 28, total loss 2.2902, train acc 0.65217, train_AUC 0.70402, train_F1: 0.54286
epoch 29, total loss 2.0295, train acc 0.61957, train_AUC 0.71111, train_F1: 0.42623
epoch 30, total loss 2.0937, train acc 0.66304, train_AUC 0.72577, train_F1: 0.57534
epoch 31, total loss 1.9547, train acc 0.56522, train_AUC 0.66005, train_F1: 0.35484
epoch 32, total loss 1.7664, train acc 0.69565, train_AUC 0.77683, train_F1: 0.5625
epoch 33, total loss 1.7468, train acc 0.69565, train_AUC 0.787, train_F1: 0.58824
epoch 34, total loss 1.6281, train acc 0.68478, train_AUC 0.78828, train_F1: 0.55385
epoch 35, total loss 1.5246, train acc 0.68478, train_AUC 0.80718, train_F1: 0.55385
epoch 36, total loss 1.5613, train acc 0.69565, train_AUC 0.82175, train_F1: 0.54839
epoch 37, total loss 1.7121, train acc 0.69565, train_AUC 0.7669, train_F1: 0.61111
epoch 38, total loss 1.7403, train acc 0.6413, train_AUC 0.72293, train_F1: 0.54795
epoch 39, total loss 1.6683, train acc 0.65217, train_AUC 0.7948, train_F1: 0.5
epoch 40, total loss 1.7074, train acc 0.65217, train_AUC 0.70307, train_F1: 0.52941
epoch 41, total loss 1.5147, train acc 0.79348, train_AUC 0.86809, train_F1: 0.73239
epoch 42, total loss 1.5233, train acc 0.70652, train_AUC 0.80492, train_F1: 0.59701
epoch 43, total loss 1.4998, train acc 0.68478, train_AUC 0.79598, train_F1: 0.57971
epoch 44, total loss 1.4942, train acc 0.65217, train_AUC 0.79149, train_F1: 0.48387
epoch 45, total loss 1.2251, train acc 0.78261, train_AUC 0.87524, train_F1: 0.72973
epoch 46, total loss 1.4624, train acc 0.69565, train_AUC 0.78993, train_F1: 0.58824
epoch 47, total loss 1.4971, train acc 0.67391, train_AUC 0.76265, train_F1: 0.54545
epoch 48, total loss 1.3126, train acc 0.71739, train_AUC 0.83215, train_F1: 0.63889
epoch 49, total loss 1.3394, train acc 0.71739, train_AUC 0.7948, train_F1: 0.60606
epoch 50, total loss 1.74, train acc 0.72826, train_AUC 0.7974, train_F1: 0.65753
epoch 51, total loss 1.4284, train acc 0.79348, train_AUC 0.89693, train_F1: 0.74667
epoch 52, total loss 1.4791, train acc 0.69565, train_AUC 0.7922, train_F1: 0.6
epoch 53, total loss 1.2874, train acc 0.75, train_AUC 0.8402, train_F1: 0.66667
epoch 54, total loss 1.3754, train acc 0.66304, train_AUC 0.78859, train_F1: 0.55072
epoch 55, total loss 1.307, train acc 0.67391, train_AUC 0.81664, train_F1: 0.54545
epoch 56, total loss 1.1555, train acc 0.73913, train_AUC 0.81569, train_F1: 0.67568
epoch 57, total loss 1.678, train acc 0.63043, train_AUC 0.75556, train_F1: 0.48485
epoch 58, total loss 1.6503, train acc 0.65217, train_AUC 0.76323, train_F1: 0.52941
epoch 59, total loss 1.284, train acc 0.75, train_AUC 0.86525, train_F1: 0.66667
epoch 60, total loss 1.3773, train acc 0.67391, train_AUC 0.774, train_F1: 0.55882
epoch 61, total loss 1.1743, train acc 0.69565, train_AUC 0.80307, train_F1: 0.57576
epoch 62, total loss 1.0748, train acc 0.71739, train_AUC 0.84074, train_F1: 0.62857
epoch 63, total loss 1.4482, train acc 0.69565, train_AUC 0.77021, train_F1: 0.62162
epoch 64, total loss 1.1781, train acc 0.72826, train_AUC 0.81439, train_F1: 0.63768
epoch 65, total loss 1.3974, train acc 0.65217, train_AUC 0.73428, train_F1: 0.5
epoch 66, total loss 1.2886, train acc 0.67391, train_AUC 0.80198, train_F1: 0.55882
epoch 67, total loss 1.3656, train acc 0.65217, train_AUC 0.72944, train_F1: 0.51515
epoch 68, total loss 1.3709, train acc 0.71739, train_AUC 0.83696, train_F1: 0.62857
epoch 69, total loss 1.4226, train acc 0.67391, train_AUC 0.77683, train_F1: 0.55882
epoch 70, total loss 1.1877, train acc 0.70652, train_AUC 0.83735, train_F1: 0.61972
epoch 71, total loss 1.2971, train acc 0.68478, train_AUC 0.80402, train_F1: 0.55385
epoch 72, total loss 1.2191, train acc 0.76087, train_AUC 0.84019, train_F1: 0.7027
epoch 73, total loss 1.2353, train acc 0.71739, train_AUC 0.81797, train_F1: 0.61765
epoch 74, total loss 1.2222, train acc 0.68478, train_AUC 0.81333, train_F1: 0.56716
epoch 75, total loss 1.3205, train acc 0.66304, train_AUC 0.77079, train_F1: 0.52308
epoch 76, total loss 1.1227, train acc 0.78261, train_AUC 0.87169, train_F1: 0.72973
epoch 77, total loss 1.1137, train acc 0.63043, train_AUC 0.77741, train_F1: 0.46875
epoch 78, total loss 1.0654, train acc 0.70652, train_AUC 0.84917, train_F1: 0.6087
epoch 79, total loss 1.3493, train acc 0.71739, train_AUC 0.81356, train_F1: 0.64865
epoch 80, total loss 1.3944, train acc 0.69565, train_AUC 0.79877, train_F1: 0.58824
epoch 81, total loss 1.1609, train acc 0.66304, train_AUC 0.82183, train_F1: 0.52308
epoch 82, total loss 1.4455, train acc 0.65217, train_AUC 0.74326, train_F1: 0.5
epoch 83, total loss 1.1675, train acc 0.76087, train_AUC 0.84475, train_F1: 0.69444
epoch 84, total loss 1.1347, train acc 0.73913, train_AUC 0.83688, train_F1: 0.65714
epoch 85, total loss 1.0725, train acc 0.72826, train_AUC 0.7948, train_F1: 0.63768
epoch 86, total loss 1.1481, train acc 0.73913, train_AUC 0.82553, train_F1: 0.65714
epoch 87, total loss 1.2167, train acc 0.63043, train_AUC 0.79433, train_F1: 0.48485
epoch 88, total loss 1.0269, train acc 0.78261, train_AUC 0.85957, train_F1: 0.72973
epoch 89, total loss 0.98943, train acc 0.72826, train_AUC 0.88091, train_F1: 0.63768
epoch 90, total loss 1.1561, train acc 0.72826, train_AUC 0.84326, train_F1: 0.63768
epoch 91, total loss 1.0099, train acc 0.72826, train_AUC 0.85255, train_F1: 0.63768
epoch 92, total loss 0.95851, train acc 0.76087, train_AUC 0.89083, train_F1: 0.68571
epoch 93, total loss 0.9203, train acc 0.67391, train_AUC 0.84397, train_F1: 0.53125
epoch 94, total loss 1.0173, train acc 0.65217, train_AUC 0.80293, train_F1: 0.48387
epoch 95, total loss 1.0522, train acc 0.78261, train_AUC 0.8724, train_F1: 0.73684
epoch 96, total loss 1.2477, train acc 0.68478, train_AUC 0.79196, train_F1: 0.59155
epoch 97, total loss 1.2084, train acc 0.68478, train_AUC 0.7766, train_F1: 0.55385
epoch 98, total loss 1.3104, train acc 0.66304, train_AUC 0.77528, train_F1: 0.53731
epoch 99, total loss 1.0368, train acc 0.72826, train_AUC 0.83885, train_F1: 0.62687
epoch 100, total loss 1.1112, train acc 0.65217, train_AUC 0.75768, train_F1: 0.52941
epoch 101, total loss 1.0988, train acc 0.70652, train_AUC 0.82979, train_F1: 0.61972
