total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 1, total loss 9.8272, train acc 0.5, train_AUC 0.50638, train_F1: 0.28125
epoch 2, total loss 6.2326, train acc 0.55435, train_AUC 0.55579, train_F1: 0.4058
epoch 3, total loss 5.3053, train acc 0.45652, train_AUC 0.5026, train_F1: 0.26471
epoch 4, total loss 4.9874, train acc 0.54348, train_AUC 0.53125, train_F1: 0.34375
epoch 5, total loss 4.6893, train acc 0.57609, train_AUC 0.5638, train_F1: 0.46575
epoch 6, total loss 4.5464, train acc 0.58696, train_AUC 0.59811, train_F1: 0.45714
epoch 7, total loss 4.0334, train acc 0.57609, train_AUC 0.66098, train_F1: 0.38095
epoch 8, total loss 3.8367, train acc 0.63043, train_AUC 0.63546, train_F1: 0.48485
epoch 9, total loss 3.8921, train acc 0.54348, train_AUC 0.59764, train_F1: 0.38235
epoch 10, total loss 3.6899, train acc 0.6087, train_AUC 0.68274, train_F1: 0.4
epoch 11, total loss 3.4305, train acc 0.61957, train_AUC 0.61608, train_F1: 0.46154
epoch 12, total loss 3.6184, train acc 0.6087, train_AUC 0.66021, train_F1: 0.45455
epoch 13, total loss 3.0477, train acc 0.55435, train_AUC 0.64421, train_F1: 0.38806
epoch 14, total loss 3.1265, train acc 0.56522, train_AUC 0.5928, train_F1: 0.375
epoch 15, total loss 3.059, train acc 0.68478, train_AUC 0.77883, train_F1: 0.56716
epoch 16, total loss 2.6387, train acc 0.63043, train_AUC 0.75734, train_F1: 0.48485
epoch 17, total loss 2.8042, train acc 0.61957, train_AUC 0.69282, train_F1: 0.49275
epoch 18, total loss 2.6519, train acc 0.67391, train_AUC 0.7339, train_F1: 0.51613
epoch 19, total loss 2.3289, train acc 0.58696, train_AUC 0.62884, train_F1: 0.40625
epoch 20, total loss 2.6021, train acc 0.67391, train_AUC 0.72259, train_F1: 0.54545
epoch 21, total loss 2.3083, train acc 0.61957, train_AUC 0.6914, train_F1: 0.49275
epoch 22, total loss 2.4229, train acc 0.59783, train_AUC 0.6862, train_F1: 0.44776
epoch 23, total loss 2.0072, train acc 0.66304, train_AUC 0.81569, train_F1: 0.52308
epoch 24, total loss 2.4716, train acc 0.6413, train_AUC 0.6875, train_F1: 0.53521
epoch 25, total loss 2.6008, train acc 0.58696, train_AUC 0.66706, train_F1: 0.45714
epoch 26, total loss 2.3984, train acc 0.61957, train_AUC 0.66856, train_F1: 0.44444
epoch 27, total loss 2.0226, train acc 0.61957, train_AUC 0.69173, train_F1: 0.46154
epoch 28, total loss 1.932, train acc 0.65217, train_AUC 0.71378, train_F1: 0.5
epoch 29, total loss 1.9158, train acc 0.63043, train_AUC 0.70213, train_F1: 0.5
epoch 30, total loss 1.5775, train acc 0.66304, train_AUC 0.74669, train_F1: 0.52308
epoch 31, total loss 1.6502, train acc 0.71739, train_AUC 0.82719, train_F1: 0.62857
epoch 32, total loss 1.5981, train acc 0.66304, train_AUC 0.77127, train_F1: 0.57534
epoch 33, total loss 1.7479, train acc 0.65217, train_AUC 0.72306, train_F1: 0.5
